# Messier catalog config file for astronopy
# Objects are sorted by RA
# types
# 1=Open Cluster
# 2=Globular Cluster
# 3=Planetary Nebula
# 4=Starforming Nebula (with open cluster)
# 5=Spiral Galaxy
# 6=Elliptical Galaxy
# 7=Irregular Galaxy
# 8=Lenticular (S0) Galaxy
# 9=Supernova Remnant
# A=System of 4 stars or Asterism
# B=Milky Way Patch
# C=Binary star
#id       ra         dec     type   const       NGC    distance (kLY)
M110   00:40.4:0  +41:41:0     6    Andromeda    205   2900
M31    00:42.7:0  +41:16:0     5    Andromeda    224   2900
M32    00:42.7:0  +40:52:0     6    Andromeda    221   2900
M103   01:33.2:0  +60:42:0     1    Cassiopeia    581    8.5
M33    01:33.9:0  +30:39:0     5    Triangulum    598   3000
M74    01:36.7:0  +15:47:0     5    Pisces    628  35000
M76    01:42.4:0  +51:34:0     3    Perseus    650    3.4
M34    02:42.0:0  +42:47:0     1    Perseus   1039    1.4
M77    02:42.7:0  -00:01:0     5    Cetus   1068  60000
M45    03:47.0:0  +24:07:0     1    Taurus   0000   0.38
M79    05:24.2:0  -24:31:0     2    Lepus   1904   42.1
M38    05:28.4:0  +35:50:0     1    Auriga   1912    4.2
M1     05:34.5:0  +22:01:0     9    Taurus   1952    6.3
M42    05:35.4:0  -05:27:0     4    Orion   1976    1.6
M43    05:35.6:0  -05:16:0     4    Orion   1982    1.6
M36    05:36.1:0  +34:08:0     1    Auriga   1960    4.1
M78    05:46.7:0  +00:03:0     4    Orion   2068    1.6
M37    05:52.4:0  +32:33:0     1    Auriga   2099    4.4
M35    06:08.9:0  +24:20:0     1    Gemini   2168    2.8
M41    06:46.0:0  -20:44:0     1    Canis_Major   2287    2.3
M50    07:03.2:0  -08:20:0     1    Monoceros   2323      3
M47    07:36.6:0  -14:30:0     1    Puppis   2422    1.6
M46    07:41.8:0  -14:49:0     1    Puppis   2437    5.4
M93    07:44.6:0  -23:52:0     1    Puppis   2447    3.6
M48    08:13.8:0  -05:48:0     1    Hydra   2548    1.5
M44    08:40.1:0  +19:59:0     1    Cancer   2632  0.577
M67    08:50.4:0  +11:49:0     1    Cancer   2682    2.7
M81    09:55.6:0  +69:04:0     5    Ursa_Major   3031  12000
M82    09:55.8:0  +69:41:0     7    Ursa_Major   3034  12000
M95    10:44.0:0  +11:42:0     5    Leo   3351  38000
M96    10:46.8:0  +11:49:0     5    Leo   3368  38000
M105   10:47.8:0  +12:35:0     6    Leo   3379  38000
M108   11:11.5:0  +55:40:0     5    Ursa_Major   3556  45000
M97    11:14.8:0  +55:01:0     3    Ursa_Major   3587    2.6
M65    11:18.9:0  +13:05:0     5    Leo   3623  35000
M66    11:20.2:0  +12:59:0     5    Leo   3627  35000
M109B  11:53.8:0  +52:20:0     5    Ursa_Major   3953  55000
M109   11:57.6:0  +53:23:0     5    Ursa_Major   3992  55000
M98    12:13.8:0  +14:54:0     5    Coma_Berenices   4192  60000
M99    12:18.8:0  +14:25:0     5    Coma_Berenices   4254  60000
M106   12:19.0:0  +47:18:0     5    Canes_Venatici   4258  25000
M61    12:21.9:0  +04:28:0     5    Virgo   4303  60000
M40    12:22.4:0  +58:05:0     C    Ursa_Major   Win4   0.51
M100   12:22.9:0  +15:49:0     5    Coma_Berenices   4321  60000
M84    12:25.1:0  +12:53:0     8    Virgo   4374  60000
M85    12:25.4:0  +18:11:0     8    Coma_Berenices   4382  60000
M86    12:26.2:0  +12:57:0     8    Virgo   4406  60000
M49    12:29.8:0  +08:00:0     6    Virgo   4472  60000
M87    12:30.8:0  +12:24:0     6    Virgo   4486  60000
M88    12:32.0:0  +14:25:0     5    Coma_Berenices   4501  60000
